k,gm,gm_e,nm,nm_e
283,1.8683951447942552e-10,3.018481204726771e-7,1.0206951055698199e-29,3.0981269693887745e-13
284,1.7490421738404694e-10,2.8317957056488733e-7,1.0121353092058519e-29,2.706739789485816e-13
285,1.637334742749212e-10,2.6566562369094746e-7,1.0460592933318192e-29,2.364796653066528e-13
286,1.5327815543977547e-10,2.492348705463127e-7,1.0925671108988718e-29,2.066051281352385e-13
287,1.434922993522737e-10,2.3382031831299329e-7,1.0937080853235309e-29,1.8050464895755858e-13
288,1.3433290755774862e-10,2.1935911751092792e-7,1.1026160522115324e-29,1.5770145005289582e-13
289,1.2575975289531163e-10,2.057923057429144e-7,1.0727149362139647e-29,1.377789851530834e-13
290,1.1773520019097896e-10,1.93064567288275e-7,1.0189494553871867e-29,1.2037333038755397e-13
291,1.102240386004567e-10,1.8112400756505073e-7,1.0069454408986135e-29,1.0516653648226528e-13
292,1.03193324842549e-10,1.6992194154114413e-7,9.694001938696454e-30,9.18808207770513e-14
293,9.661223661797357e-11,1.5941269523170245e-7,9.18787441716161e-30,8.027349296692159e-14
294,9.045193553837162e-11,1.4955341947339044e-7,8.654102914594476e-30,7.013252187577169e-14
295,8.468543895367396e-11,1.4030391521625748e-7,8.189703428047249e-30,6.127266228071572e-14
296,7.92875000961176e-11,1.316264696208654e-7,7.787137790957157e-30,5.3532071035700695e-14
297,7.423449599435472e-11,1.234857022923979e-7,7.438610775361939e-30,4.676935068109843e-14
298,6.950432265871562e-11,1.1584842102480499e-7,7.430411766102081e-30,4.086096653486088e-14
299,6.507629705551224e-11,1.0868348646681102e-7,7.217641695897662e-30,3.569899008321678e-14
300,6.093106543546685e-11,1.0196168515799051e-7,6.843554031997676e-30,3.118912744940406e-14
301,5.705051760046389e-11,9.565561041724489e-8,6.500824761686458e-30,2.7248996926456348e-14
302,5.3417706719399614e-11,8.973955059802839e-8,6.193252579911016e-30,2.380662410971727e-14
303,5.0016774336344805e-11,8.418938425470816e-8,5.9259151987399315e-30,2.079912713965272e-14
304,4.6832880231181675e-11,7.898248179262251e-8,5.694528756665872e-30,1.8171568038278063e-14
305,4.38521368180753e-11,7.409761320083633e-8,5.7374632263143615e-30,1.5875949156551108e-14
306,4.1061547785493805e-11,6.951486149139467e-8,5.790488618098931e-30,1.387033640082497e-14
307,3.844895070499588e-11,6.52155414921414e-8,5.8571950047854625e-30,1.211809322232953e-14
308,3.6002963349700455e-11,6.118212366199863e-8,5.9759269018903485e-30,1.0587211376959449e-14
309,3.371293347823138e-11,5.739816261808028e-8,6.2075161423480814e-30,9.249726230350954e-15
310,3.156889186727974e-11,5.384823008322436e-8,6.255342605993668e-30,8.081205927619233e-15
311,2.956150837386175e-11,5.0517851980552635e-8,6.2020363156530725e-30,7.060305096414772e-15
312,2.76820508350787e-11,4.739344941857396e-8,6.117292329843219e-30,6.1683749307878184e-15
